TIME	OPEN	CLOSE	HIGH	LOW	VOLUME
1262304000	1.36967	1.36967	1.38165	1.35769	0.0
1262307600	1.36967	1.40132	1.41143	1.35979	0.0
1262311200	1.40132	1.39596	1.40145	1.39582	0.0
1262314800	1.39596	1.37539	1.41003	1.36153	0.0
1262318400	1.37539	1.38381	1.38447	1.37474	0.0
1262322000	1.38381	1.36016	1.3876	1.35644	0.0
1262325600	1.36016	1.3513	1.36836	1.34315	0.0
1262329200	1.3513	1.33948	1.35724	1.33359	0.0
1262332800	1.33948	1.33486	1.34969	1.32469	0.0
1262336400	1.33486	1.33264	1.33719	1.33032	0.0
1262340000	1.33264	1.32757	1.348	1.31227	0.0
1262343600	1.32757	1.33182	1.34158	1.31784	0.0
1262347200	1.33182	1.31464	1.33474	1.31175	0.0
1262350800	1.31464	1.3005	1.31894	1.29624	0.0
1262354400	1.3005	1.28952	1.30303	1.28702	0.0
1262358000	1.28952	1.26278	1.29579	1.25665	0.0
1262361600	1.26278	1.26259	1.27207	1.2533	0.0
1262365200	1.26259	1.24651	1.26623	1.24292	0.0
1262368800	1.24651	1.25172	1.25281	1.24542	0.0
1262372400	1.25172	1.26656	1.27235	1.246	0.0
1262376000	1.26656	1.27444	1.28513	1.25594	0.0
1262379600	1.27444	1.26235	1.27889	1.25794	0.0
1262383200	1.26235	1.27319	1.28201	1.25361	0.0
1262386800	1.27319	1.28905	1.28985	1.27241	0.0
1262390400	1.28905	1.28921	1.29165	1.28661	0.0
1262394000	1.28921	1.29645	1.29996	1.28571	0.0
1262397600	1.29645	1.30503	1.31188	1.28964	0.0
1262401200	1.30503	1.30613	1.31347	1.2977	0.0
1262404800	1.30613	1.27927	1.3141	1.27147	0.0
1262408400	1.27927	1.27765	1.27995	1.27697	0.0
1262412000	1.27765	1.28018	1.28666	1.27118	0.0
1262415600	1.28018	1.2743	1.28086	1.27361	0.0
1262419200	1.2743	1.28357	1.29094	1.26698	0.0
1262422800	1.28357	1.26913	1.2902	1.26257	0.0
1262426400	1.26913	1.27949	1.28484	1.26382	0.0
1262430000	1.27949	1.29907	1.30578	1.27288	0.0
1262433600	1.29907	1.29845	1.30035	1.29716	0.0
1262437200	1.29845	1.29156	1.3056	1.28444	0.0
1262440800	1.29156	1.31905	1.32553	1.28522	0.0
1262444400	1.31905	1.32809	1.34264	1.30461	0.0
1262448000	1.32809	1.30831	1.33318	1.3033	0.0
1262451600	1.30831	1.26603	1.31162	1.26283	0.0
1262455200	1.26603	1.25289	1.27121	1.24776	0.0
1262458800	1.25289	1.22878	1.25963	1.22216	0.0
1262462400	1.22878	1.24123	1.24364	1.22639	0.0
1262466000	1.24123	1.27229	1.27258	1.24095	0.0
1262469600	1.27229	1.28858	1.29581	1.26516	0.0
1262473200	1.28858	1.27761	1.29279	1.27344	0.0
1262476800	1.27761	1.23982	1.2852	1.23246	0.0
1262480400	1.23982	1.22513	1.24242	1.22257	0.0
1262484000	1.22513	1.22744	1.23371	1.21888	0.0
1262487600	1.22744	1.20538	1.2327	1.20022	0.0
1262491200	1.20538	1.20943	1.21675	1.19809	0.0
1262494800	1.20943	1.22112	1.22541	1.20518	0.0
1262498400	1.22112	1.21576	1.23036	1.20656	0.0
1262502000	1.21576	1.20619	1.22525	1.19677	0.0
1262505600	1.20619	1.19881	1.20963	1.19539	0.0
1262509200	1.19881	1.17856	1.20117	1.17624	0.0
1262512800	1.17856	1.17351	1.18096	1.17112	0.0
1262516400	1.17351	1.15102	1.17363	1.1509	0.0
1262520000	1.15102	1.15476	1.16113	1.14468	0.0
1262523600	1.15476	1.14901	1.16581	1.13801	0.0
1262527200	1.14901	1.141	1.14987	1.14014	0.0
1262530800	1.141	1.147	1.16131	1.12676	0.0
1262534400	1.147	1.13881	1.14934	1.13648	0.0
1262538000	1.13881	1.10018	1.14219	1.09691	0.0
1262541600	1.10018	1.09036	1.10123	1.08931	0.0
1262545200	1.09036	1.07535	1.09796	1.06786	0.0
1262548800	1.07535	1.09416	1.09445	1.07506	0.0
1262552400	1.09416	1.10676	1.11373	1.08727	0.0
1262556000	1.10676	1.08873	1.10726	1.08824	0.0
1262559600	1.08873	1.08281	1.09075	1.08081	0.0
1262563200	1.08281	1.0763	1.08318	1.07592	0.0
1262566800	1.0763	1.0855	1.08935	1.07247	0.0
1262570400	1.0855	1.10037	1.10904	1.07694	0.0
1262574000	1.10037	1.12524	1.13622	1.08963	0.0
1262577600	1.12524	1.12604	1.12653	1.12475	0.0
1262581200	1.12604	1.1404	1.14839	1.11815	0.0
1262584800	1.1404	1.13243	1.15152	1.12139	0.0
1262588400	1.13243	1.12333	1.13688	1.11892	0.0
1262592000	1.12333	1.15039	1.16295	1.11106	0.0
1262595600	1.15039	1.14393	1.15091	1.14341	0.0
1262599200	1.14393	1.13641	1.1485	1.13186	0.0
1262602800	1.13641	1.14576	1.15309	1.12914	0.0
1262606400	1.14576	1.1614	1.16991	1.13736	0.0
1262610000	1.1614	1.1613	1.16536	1.15734	0.0
1262613600	1.1613	1.1499	1.16675	1.1445	0.0
1262617200	1.1499	1.12974	1.15365	1.12606	0.0
1262620800	1.12974	1.11886	1.1328	1.11583	0.0
1262624400	1.11886	1.11989	1.12535	1.11341	0.0
1262628000	1.11989	1.11924	1.12422	1.11492	0.0
1262631600	1.11924	1.12163	1.12397	1.11691	0.0
1262635200	1.12163	1.14775	1.16196	1.10774	0.0
1262638800	1.14775	1.18258	1.18834	1.14215	0.0
1262642400	1.18258	1.20202	1.20261	1.18199	0.0
1262646000	1.20202	1.19602	1.20416	1.1939	0.0
1262649600	1.19602	1.20282	1.21326	1.18564	0.0
1262653200	1.20282	1.20594	1.21235	1.19643	0.0
1262656800	1.20594	1.2176	1.22483	1.19878	0.0
1262660400	1.2176	1.22455	1.22482	1.21733	0.0
1262664000	1.22455	1.19349	1.22902	1.18913	0.0
1262667600	1.19349	1.20605	1.21185	1.18774	0.0
1262671200	1.20605	1.18107	1.21046	1.17675	0.0
1262674800	1.18107	1.17619	1.19927	1.15806	0.0
1262678400	1.17619	1.18076	1.18424	1.17272	0.0
1262682000	1.18076	1.19075	1.19861	1.17297	0.0
1262685600	1.19075	1.20587	1.20761	1.18903	0.0
1262689200	1.20587	1.23128	1.23527	1.20196	0.0
1262692800	1.23128	1.24525	1.24977	1.22681	0.0
1262696400	1.24525	1.24806	1.25472	1.2386	0.0
1262700000	1.24806	1.25267	1.25951	1.24125	0.0
1262703600	1.25267	1.25466	1.25916	1.24818	0.0
1262707200	1.25466	1.26117	1.2614	1.25443	0.0
1262710800	1.26117	1.25178	1.26221	1.25076	0.0
1262714400	1.25178	1.23057	1.25614	1.22629	0.0
1262718000	1.23057	1.2299	1.23192	1.22855	0.0
1262721600	1.2299	1.23342	1.25134	1.21203	0.0
1262725200	1.23342	1.20732	1.23663	1.20418	0.0
1262728800	1.20732	1.21783	1.21989	1.20527	0.0
1262732400	1.21783	1.23552	1.23902	1.21438	0.0
1262736000	1.23552	1.22555	1.24114	1.21997	0.0
1262739600	1.22555	1.22061	1.2291	1.21707	0.0
1262743200	1.22061	1.21855	1.22554	1.21363	0.0
1262746800	1.21855	1.20234	1.22316	1.1978	0.0
1262750400	1.20234	1.1804	1.21244	1.17049	0.0
1262754000	1.1804	1.17913	1.19151	1.16803	0.0
1262757600	1.17913	1.16884	1.184	1.16401	0.0
1262761200	1.16884	1.16488	1.17901	1.15475	0.0
1262764800	1.16488	1.17617	1.17618	1.16487	0.0
1262768400	1.17617	1.17788	1.1926	1.16147	0.0
1262772000	1.17788	1.17003	1.18097	1.16697	0.0
1262775600	1.17003	1.16321	1.17149	1.16177	0.0
1262779200	1.16321	1.17441	1.17551	1.16211	0.0
1262782800	1.17441	1.16395	1.1802	1.15821	0.0
1262786400	1.16395	1.14042	1.16505	1.13935	0.0
1262790000	1.14042	1.14007	1.14076	1.13974	0.0
1262793600	1.14007	1.11034	1.15232	1.09841	0.0
1262797200	1.11034	1.11226	1.12521	1.09741	0.0
1262800800	1.11226	1.14014	1.14897	1.10364	0.0
1262804400	1.14014	1.14017	1.14674	1.13356	0.0
1262808000	1.14017	1.14586	1.15268	1.13338	0.0
1262811600	1.14586	1.16706	1.17125	1.14175	0.0
1262815200	1.16706	1.17938	1.17954	1.1669	0.0
1262818800	1.17938	1.19279	1.20729	1.16504	0.0
1262822400	1.19279	1.20975	1.21386	1.18873	0.0
1262826000	1.20975	1.21772	1.21998	1.2075	0.0
1262829600	1.21772	1.22542	1.23199	1.21118	0.0
1262833200	1.22542	1.21529	1.22852	1.21222	0.0
1262836800	1.21529	1.22072	1.22884	1.20721	0.0
1262840400	1.22072	1.22259	1.22304	1.22027	0.0
1262844000	1.22259	1.2076	1.22887	1.2014	0.0
1262847600	1.2076	1.20837	1.21023	1.20575	0.0
1262851200	1.20837	1.18857	1.2095	1.18747	0.0
1262854800	1.18857	1.19089	1.1921	1.18736	0.0
1262858400	1.19089	1.20184	1.21871	1.17417	0.0
1262862000	1.20184	1.18737	1.20348	1.18575	0.0
1262865600	1.18737	1.19531	1.19913	1.18358	0.0
1262869200	1.19531	1.19443	1.1994	1.19033	0.0
1262872800	1.19443	1.20012	1.20187	1.19268	0.0
1262876400	1.20012	1.19862	1.20559	1.19316	0.0
1262880000	1.19862	1.20794	1.21087	1.19571	0.0
1262883600	1.20794	1.22894	1.23163	1.2053	0.0
1262887200	1.22894	1.25357	1.26539	1.21735	0.0
1262890800	1.25357	1.26492	1.27973	1.2389	0.0
1262894400	1.26492	1.2723	1.28217	1.2551	0.0
1262898000	1.2723	1.26334	1.27514	1.26052	0.0
1262901600	1.26334	1.24872	1.26477	1.2473	0.0
1262905200	1.24872	1.27735	1.2807	1.24544	0.0
1262908800	1.27735	1.27313	1.28606	1.26445	0.0
1262912400	1.27313	1.26551	1.2782	1.26047	0.0
1262916000	1.26551	1.28136	1.28891	1.25806	0.0
1262919600	1.28136	1.32841	1.32852	1.28126	0.0
1262923200	1.32841	1.3474	1.35896	1.31701	0.0
1262926800	1.3474	1.34949	1.35189	1.345	0.0
